,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
266,Mocuba,8,MZ,1555792249,98,-16.84,36.99,67.55,2.55
267,Narrabri,0,AU,1555790400,72,-30.33,149.78,59.0,2.24
268,Ambalavao,4,MG,1555792250,89,-21.83,46.94,64.49,4.36
269,Wuwei,0,CN,1555792250,43,37.93,102.64,52.79,2.06
270,Sorland,95,NO,1555792250,90,67.67,12.69,43.97,27.58
271,Yumen,0,CN,1555792250,28,40.29,97.04,58.19,4.16
272,Adilabad,59,IN,1555792250,42,19.68,78.53,88.61,10.36
273,Tautira,20,PF,1555791783,70,-17.73,-149.15,86.0,4.7
274,Codroipo,5,IT,1555792207,55,45.96,12.98,64.0,2.24
275,Sao Filipe,51,CV,1555792251,80,14.9,-24.5,72.05,17.0
276,Adrar,0,DZ,1555790400,9,27.87,-0.29,84.2,17.22
277,Cidreira,90,BR,1555792251,61,-30.17,-50.22,73.67,1.99
278,Dubbo,0,AU,1555790400,88,-32.25,148.6,62.6,10.29
279,Ahipara,0,NZ,1555792252,76,-35.17,173.16,64.49,6.67
280,Saint Anthony,1,US,1555792251,30,43.97,-111.68,70.0,18.34
281,Sovetskiy,79,RU,1555792253,84,56.76,48.47,37.13,4.32
282,Geraldton,90,CA,1555790400,70,49.72,-86.95,44.6,11.41
283,Solnechnyy,99,RU,1555792253,82,50.72,136.64,31.91,3.53
284,Bathsheba,40,BB,1555790400,62,13.22,-59.52,84.2,18.34
285,Aleksandrov Gay,0,RU,1555792254,49,50.14,48.57,40.91,1.79
286,Nuevo Laredo,1,US,1555791906,24,27.49,-99.5,91.4,13.87
287,Vezirkopru,75,TR,1555789800,75,41.14,35.45,41.0,12.75
288,Skibbereen,0,IE,1555790400,71,51.55,-9.27,55.4,4.7
289,Trinidad,100,UY,1555792255,60,-33.52,-56.9,66.65,8.5
290,Severnoye,99,RU,1555792256,53,54.09,52.54,42.53,1.01
291,Biak,100,ID,1555792256,98,-0.91,122.88,66.47,1.21
292,Ko Samui,38,TH,1555792146,72,9.54,99.94,84.65,3.53
293,Sambava,99,MG,1555792257,98,-14.27,50.17,70.97,3.22
294,Berlevag,99,NO,1555792257,74,70.86,29.09,42.17,17.72
295,Nome,1,US,1555792243,25,30.04,-94.42,80.01,6.93
296,Norman Wells,20,CA,1555790400,59,65.28,-126.83,37.4,5.82
297,Angoram,98,PG,1555792257,95,-4.06,144.07,75.29,1.52
298,Chimbarongo,20,CL,1555790400,49,-34.71,-71.04,68.0,4.7
299,Tongchuan,90,CN,1555790400,100,34.9,108.95,53.6,2.24
300,Zaysan,63,KZ,1555792258,75,47.47,84.87,48.11,4.68
301,Mount Gambier,40,AU,1555790400,77,-37.83,140.78,62.6,1.12
302,Borba,0,PT,1555786800,55,38.81,-7.46,64.4,12.75
303,Kavali,14,IN,1555792259,72,14.91,79.99,84.29,13.6
304,Pangkalanbuun,94,ID,1555792207,94,-2.68,111.62,74.03,1.81
305,Novobirilyussy,1,RU,1555792259,86,56.95,90.69,25.97,4.27
306,Gympie,59,AU,1555791606,100,-26.2,152.66,64.99,3.0
307,Kruisfontein,30,ZA,1555792259,89,-34.0,24.73,55.67,6.46
308,Broken Hill,40,AU,1555790400,35,-31.97,141.45,69.8,10.29
309,Kayunga,90,UG,1555792260,98,0.7,32.9,65.21,4.07
310,Balkanabat,72,TM,1555792260,75,39.51,54.36,49.91,7.43
311,Maceio,53,BR,1555791999,90,-9.67,-35.74,76.37,4.79
312,Astana,0,KZ,1555790400,92,51.13,71.43,23.0,8.95
313,Walvis Bay,0,NA,1555790526,82,-22.95,14.51,59.0,3.36
314,Grand Gaube,40,MU,1555791544,83,-20.01,57.66,79.0,12.75
315,Llanes,11,ES,1555792237,88,43.42,-4.75,60.01,5.3
316,Tucurui,72,BR,1555792261,80,-3.77,-49.67,82.49,2.55
317,Klaksvik,22,FO,1555791600,70,62.23,-6.59,44.6,12.75
318,Manjeshwar,40,IN,1555790400,78,12.72,74.89,80.6,8.95
319,Yatou,99,CM,1555792262,75,3.63,9.81,83.75,11.07
320,Meulaboh,95,ID,1555792262,82,4.14,96.13,83.03,7.2
321,Nelson Bay,75,AU,1555792233,93,-32.72,152.14,64.99,10.51
322,Benton Harbor,1,US,1555792202,49,42.12,-86.45,64.99,19.46
323,Kiama,2,AU,1555792169,100,-34.67,150.86,66.99,1.12
324,Itarema,100,BR,1555792263,88,-2.92,-39.92,78.53,5.68
325,Namibe,46,AO,1555792263,75,-15.19,12.15,73.67,9.53
326,Marshfield,75,US,1555792261,82,42.09,-70.71,71.01,14.99
327,Fukue,40,JP,1555792184,87,35.03,136.69,55.4,1.12
328,Aksarka,100,RU,1555792264,91,66.56,67.8,28.85,10.45
329,Dolzhanskaya,0,RU,1555792264,59,46.63,37.8,45.59,11.99
330,Rawson,0,AR,1555792229,28,-43.3,-65.11,68.27,9.66
331,Surin,40,TH,1555792226,79,14.88,103.49,90.0,8.05
332,Kununurra,76,AU,1555790400,94,-15.77,128.74,69.8,5.12
333,Kabo,51,CF,1555792265,47,7.69,18.62,85.19,4.09
334,Quzhou,0,CN,1555792265,80,28.97,118.86,68.27,2.48
335,Matara,75,PE,1555786800,51,-13.74,-72.9,59.0,9.84
336,Garissa,69,KE,1555792265,58,-0.46,39.64,84.47,17.54
337,Hamilton,20,BM,1555791400,68,32.3,-64.78,73.0,17.22
338,Slave Lake,90,CA,1555790400,56,55.28,-114.77,44.6,12.75
339,Parry Sound,93,CA,1555791383,95,45.34,-80.04,39.99,1.01
340,Laukaa,0,FI,1555792122,80,62.42,25.95,35.6,2.24
341,Buraydah,0,SA,1555790400,37,26.33,43.97,69.8,8.05
342,Maues,61,BR,1555792089,70,-3.38,-57.72,86.81,3.6
343,Kenai,1,US,1555792024,59,60.55,-151.26,39.99,9.17
344,Aguas Vermelhas,22,BR,1555792267,91,-15.75,-41.46,70.79,3.58
345,Paamiut,100,GL,1555792268,89,61.99,-49.67,33.53,7.54
346,Sungaipenuh,71,ID,1555792268,82,-2.08,101.38,75.29,3.27
347,Yar-Sale,100,RU,1555792268,97,66.83,70.83,22.55,9.42
348,Alugan,70,PH,1555792268,89,12.22,125.48,75.47,4.85
349,Huarmey,63,PE,1555792268,92,-10.07,-78.15,68.27,15.37
350,Gamba,87,CN,1555792269,51,28.28,88.52,27.05,4.97
351,Fengzhen,0,CN,1555792269,42,40.43,113.15,46.85,3.83
352,Mizan Teferi,96,ET,1555792269,62,6.99,35.58,66.83,3.4
353,Lakes Entrance,66,AU,1555792207,96,-37.88,147.99,48.99,4.23
354,Hirara,2,JP,1555792270,85,24.8,125.28,76.55,7.09
355,Kirakira,96,SB,1555792270,81,-10.46,161.92,81.41,2.28
356,Pestovo,0,RU,1555791266,60,55.36,37.98,51.01,6.71
357,Lazaro Cardenas,75,MX,1555792234,12,28.39,-105.62,93.0,4.7
358,Cherskiy,92,RU,1555792270,89,68.75,161.3,1.67,2.98
359,Tommot,100,RU,1555792271,91,58.97,126.27,21.65,8.57
360,Dayong,68,PH,1555792271,79,11.74,122.04,82.67,11.36
361,Port-Gentil,20,GA,1555790400,94,-0.72,8.78,78.8,2.24
362,Altay,96,CN,1555792271,93,47.83,88.13,38.03,3.22
363,Rosario,20,UY,1555791334,68,-34.31,-57.35,66.99,10.29
364,Winnemucca,40,US,1555790578,32,40.97,-117.74,66.2,27.51
365,Erzin,75,TR,1555791972,76,36.95,36.2,55.4,5.82
366,Bandarbeyla,15,SO,1555792273,70,9.49,50.81,80.15,6.4
367,Lingao,0,CN,1555792273,85,19.91,109.69,79.43,2.64
368,Salalah,40,OM,1555789800,74,17.01,54.1,82.4,4.7
369,Constantine,40,DZ,1555790400,87,36.36,6.61,57.2,3.36
370,Matay,0,EG,1555792274,48,28.42,30.79,62.15,16.55
371,Abu Samrah,100,SY,1555792274,77,35.3,37.18,51.35,9.13
372,Tehachapi,1,US,1555792240,52,35.13,-118.45,81.0,25.28
373,Coatepec Harinas,40,MX,1555789620,17,18.89,-99.72,86.0,5.82
374,Port Macquarie,90,AU,1555792205,100,-31.43,152.91,61.0,1.63
375,Katsuura,20,JP,1555790886,87,33.93,134.5,55.99,3.36
376,Kefamenanu,53,ID,1555792275,82,-9.45,124.48,71.51,5.19
377,Jinchang,83,CN,1555792275,39,38.52,102.19,50.81,4.25
378,Ormara,0,PK,1555792275,62,25.21,64.64,78.71,7.72
379,Coahuayana,1,MX,1555792276,16,18.62,-100.35,103.73,5.93
380,Evensk,99,RU,1555792276,83,61.92,159.24,31.19,3.11
381,Beidao,9,CN,1555792276,69,34.57,105.89,47.03,0.98
382,Vilhena,75,BR,1555790400,88,-12.74,-60.15,77.0,6.93
383,Bunia,68,CD,1555792277,66,1.56,30.25,69.89,2.13
384,Mehamn,100,NO,1555792277,76,71.03,27.85,39.47,14.2
385,Mastic Beach,90,US,1555791981,87,40.77,-72.85,63.0,14.99
386,Tamandare,100,BR,1555792277,63,-8.28,-70.75,86.81,1.63
387,Cheremkhovo,95,RU,1555792278,34,53.15,103.07,31.55,6.73
388,Los Llanos de Aridane,75,ES,1555792210,68,28.66,-17.92,66.2,16.11
389,Aksu,0,KZ,1555790400,79,52.04,76.93,28.4,4.47
390,Kamareddi,25,IN,1555792278,50,18.32,78.34,87.53,14.07
391,Vila Franca do Campo,75,PT,1555790400,82,37.72,-25.43,60.8,8.05
392,Keti Bandar,0,PK,1555792279,83,24.14,67.45,79.25,12.91
393,Dondo,20,MZ,1555790400,94,-19.62,34.74,75.2,3.36
394,Kenora,90,CA,1555791763,51,49.76,-94.48,59.0,6.93
395,Cap Malheureux,40,MU,1555791544,83,-19.98,57.61,79.0,12.75
396,Petropavlovsk-Kamchatskiy,0,RU,1555790400,86,53.05,158.65,28.4,4.47
397,Westlock,40,CA,1555792262,29,54.15,-113.85,54.0,16.11
398,Suntar,0,RU,1555792280,94,62.16,117.65,16.61,5.14
399,Lasa,20,CY,1555790400,71,34.92,32.53,57.2,4.7
400,Dauriya,0,RU,1555792281,26,49.93,116.85,27.59,2.59
401,Palestine,1,US,1555792218,35,31.76,-95.63,75.99,6.93
402,Marshall,1,US,1555792261,31,39.39,-87.69,64.99,18.34
403,Gondanglegi,100,ID,1555792281,90,-7.75,112.01,74.57,2.19
404,Thunder Bay,90,CA,1555791465,54,48.41,-89.26,55.4,8.05
405,Faya,20,SA,1555790400,82,18.39,42.45,66.2,1.34
406,Bela Vista,0,BR,1555792283,59,-22.11,-56.53,87.17,3.4
407,Kabanjahe,99,ID,1555792284,93,3.1,98.49,70.97,2.73
408,Lazarev,70,RU,1555792284,86,52.23,141.51,31.37,12.19
409,Assiniboia,94,CA,1555792284,22,49.63,-105.99,59.63,11.59
410,Haines Junction,55,CA,1555792284,44,60.75,-137.51,33.71,13.11
411,Byron Bay,40,AU,1555792217,100,-28.65,153.62,69.8,2.24
412,Qaqortoq,31,GL,1555789800,48,60.72,-46.03,39.2,9.17
413,Hobyo,77,SO,1555792285,75,5.35,48.53,83.39,13.33
414,Road Town,40,VG,1555792224,58,18.42,-64.62,84.2,11.41
415,Taltal,0,CL,1555792286,61,-25.41,-70.49,67.73,7.27
416,Ust-Kuyga,72,RU,1555792286,54,70.0,135.55,11.21,2.46
417,Talnakh,0,RU,1555790400,83,69.49,88.39,-7.61,6.71
418,Zhezkazgan,20,KZ,1555790400,92,47.8,67.71,26.6,8.95
419,Ambovombe,1,MG,1555792287,75,-25.18,46.09,78.35,26.75
420,Kuruman,100,ZA,1555792218,63,-27.46,23.43,64.99,8.72
421,Santa Barbara,90,US,1555792086,72,34.42,-119.7,64.0,4.7
422,Bahia Honda,1,CU,1555792288,60,22.9,-83.16,75.83,12.44
423,Sagua de Tanamo,72,CU,1555792289,75,20.58,-75.24,79.61,1.32
424,Bonavista,100,CA,1555792251,86,48.65,-53.11,36.0,4.88
425,Samarai,100,PG,1555792289,86,-10.62,150.67,75.65,2.93
426,Cabedelo,40,BR,1555790400,100,-6.97,-34.84,77.0,2.24
427,Yuzhne,0,UA,1555790400,31,48.22,33.85,48.2,2.46
428,Sterling,40,US,1555792286,43,39.0,-77.4,73.4,14.99
429,Kushima,100,JP,1555791013,82,31.5,131.29,55.0,2.13
430,Lodja,54,CD,1555792291,68,-3.52,23.6,76.55,2.1
431,Yegros,100,PY,1555792291,89,-26.46,-56.4,78.71,4.92
432,Leh,84,IN,1555792291,39,34.16,77.58,18.95,3.15
433,Dunedin,82,NZ,1555792019,84,-45.87,170.5,54.0,8.99
434,Danielskuil,99,ZA,1555792291,52,-28.19,23.54,65.39,7.85
435,Zhoucheng,71,CN,1555790400,100,31.35,119.33,64.4,2.24
436,Totness,40,US,1555792284,58,33.74,-80.8,59.0,13.87
437,Vila Velha,75,BR,1555792102,83,-3.71,-38.6,81.0,2.24
438,Ulladulla,0,AU,1555792265,100,-35.36,150.48,66.0,1.12
439,Bom Jesus do Galho,20,BR,1555790400,55,-19.83,-42.32,89.6,4.7
440,Westerland,0,NL,1555792292,82,52.89,4.93,62.6,10.29
441,Ilulissat,43,GL,1555789800,42,69.22,-51.1,26.6,8.05
442,Micheweni,89,TZ,1555792293,78,-4.97,39.83,85.19,15.84
443,Ouargaye,24,BF,1555792278,36,11.5,0.06,96.71,9.37
444,Manitouwadge,75,CA,1555790400,29,49.12,-85.84,50.0,9.17
445,Karangasem,57,ID,1555792294,79,-6.7,108.49,76.55,4.63
446,Grindavik,75,IS,1555791722,75,63.84,-22.43,45.0,18.34
447,Jalu,0,LY,1555792294,22,29.03,21.55,70.97,7.25
448,Fairbanks,75,US,1555792268,38,64.84,-147.72,43.0,9.17
449,Chifeng,0,CN,1555792295,27,42.27,118.96,37.31,3.69
450,Bacalar,5,MX,1555789200,54,18.68,-88.39,80.6,13.87
451,Cayenne,75,GF,1555790400,70,4.94,-52.33,84.2,14.99
452,Pervomayskiy,48,RU,1555792295,41,53.24,40.29,48.11,2.91
453,Begunitsy,0,RU,1555792012,83,59.58,29.3,39.2,4.56
454,Mozarlandia,0,BR,1555792296,68,-14.74,-50.57,82.67,3.47
455,Pancesti,0,RO,1555790400,65,46.33,27.08,45.0,1.12
456,Zyryanka,99,RU,1555792296,94,65.73,150.89,18.05,6.17
457,Gumdag,81,TM,1555792297,90,39.2,54.59,46.13,8.93
458,Lower Hutt,100,NZ,1555792282,87,-41.21,174.91,59.0,12.75
459,Kamenka,97,RU,1555791920,35,53.19,44.05,48.0,2.93
460,Vrangel,31,RU,1555792285,88,42.73,133.08,41.45,3.71
461,Bemidji,40,US,1555792009,42,47.48,-94.89,64.99,5.3
462,Sudak,71,UA,1555792298,80,44.85,34.97,36.77,7.07
463,Galle,1,US,1555792294,36,29.74,-97.91,82.99,13.87
464,Dingle,68,PH,1555792298,87,11.0,122.67,74.75,5.53
465,Chapais,1,CA,1555790400,39,49.78,-74.86,50.0,16.11
466,Yenagoa,100,NG,1555792299,93,4.92,6.26,77.27,4.43
467,Oyek,0,RU,1555790400,53,52.59,104.46,24.8,2.24
468,Muzhi,93,RU,1555792299,88,65.4,64.7,29.03,7.4
469,Tynda,100,RU,1555792299,91,55.15,124.74,12.11,4.88
470,Zhanaozen,100,KZ,1555792300,62,43.35,52.85,45.77,11.21
471,Oussouye,9,SN,1555792300,81,12.49,-16.54,72.23,11.56
472,Nassjo,7,SE,1555791422,43,57.65,14.7,55.99,5.82
473,Sault Sainte Marie,1,CA,1555790400,25,46.49,-84.36,62.6,8.05
474,Otoka,0,BA,1555790400,75,43.85,18.36,48.2,2.24
475,Wanaka,70,NZ,1555792301,92,-44.7,169.14,41.99,4.56
476,Pokhara,12,NP,1555792301,60,28.21,83.99,47.21,3.31
477,Nanakuli,40,US,1555792241,69,21.39,-158.15,82.4,10.29
478,Jadu,0,LY,1555792301,13,31.95,12.03,82.67,27.2
479,Kondoa,55,TZ,1555792301,95,-4.91,35.78,61.97,3.6
480,Hervey Bay,75,AU,1555792208,100,-25.3,152.85,72.0,12.75
481,Prince Rupert,1,CA,1555790400,65,54.32,-130.32,46.4,6.93
482,Pisco,0,PE,1555792233,30,-13.71,-76.2,78.01,9.17
483,Ordynskoye,85,RU,1555792302,59,54.37,81.9,32.09,8.43
484,Brattvag,75,NO,1555792286,81,62.6,6.44,51.01,23.04
485,Buala,100,SB,1555792303,78,-8.15,159.59,81.41,8.68
486,Beruwala,100,LK,1555792303,76,6.48,79.98,85.19,15.95
487,Rorvik,100,NO,1555792202,86,64.86,11.24,48.99,3.0
488,Sur,0,OM,1555792303,32,22.57,59.53,86.63,10.27
489,Moron,100,VE,1555792211,67,10.49,-68.2,83.03,7.78
490,Monrovia,75,LR,1555790400,88,6.33,-10.8,80.6,7.83
491,Yulara,40,AU,1555790400,62,-25.24,130.99,57.2,14.99
492,Zilair,0,RU,1555792304,73,52.23,57.44,33.17,5.26
493,Miles City,40,US,1555792205,55,46.41,-105.84,64.99,13.87
494,Zhuhai,0,CN,1555790400,39,40.71,112.04,48.2,8.95
495,Alausi,100,EC,1555792305,97,-2.2,-78.83,60.89,3.62
496,Dublin,0,IE,1555791767,71,53.35,-6.26,60.8,1.12
497,Ekhabi,80,RU,1555792306,90,53.51,142.97,32.45,14.36
498,Birao,63,CF,1555792306,8,10.3,22.78,87.17,7.07
499,Ileza,0,RU,1555792307,93,61.05,43.9,36.95,2.42
500,Paciran,100,ID,1555792307,88,-6.9,112.33,75.65,4.12
501,Nueva Imperial,0,CL,1555792236,71,-38.75,-72.95,57.2,5.82
502,Nakamura,40,JP,1555792184,87,35.17,136.87,55.4,1.12
503,Mitu,0,IR,1555792308,80,36.2,46.09,36.59,5.99
504,Te Anau,68,NZ,1555792308,95,-45.41,167.72,42.71,3.36
505,Roquetas de Mar,75,ES,1555792216,77,36.76,-2.61,60.8,14.99
506,Mujiayingzi,0,CN,1555792309,28,42.12,118.78,39.29,2.8
507,Santa Marta,75,CO,1555791943,70,11.24,-74.21,86.0,4.7
508,Springbok,89,ZA,1555792310,61,-29.67,17.88,61.61,9.75
509,Dusseldorf,0,DE,1555792280,34,51.22,6.78,68.0,10.29
510,Lavrentiya,0,RU,1555792311,84,65.58,-170.99,-1.39,3.51
511,Terekli-Mekteb,100,RU,1555792311,48,44.16,45.87,41.81,5.7
512,Champerico,5,MX,1555789440,21,16.38,-93.6,89.6,4.7
513,Kyren,89,RU,1555792311,61,51.68,102.13,17.15,5.46
514,Tonshayevo,81,RU,1555792311,83,57.74,47.01,39.29,2.75
515,Mukhen,100,RU,1555792312,53,48.19,136.14,40.91,8.23
516,Changji,100,CN,1555792312,89,32.07,116.17,62.51,4.74
517,Kholtoson,47,RU,1555792312,49,50.3,103.31,23.63,2.33
518,Paranhos,66,PY,1555792312,54,-23.89,-55.43,88.25,3.65
519,Araouane,0,ML,1555792312,11,18.9,-3.53,90.59,8.75
520,Seoul,90,KR,1555789800,93,37.57,126.98,57.2,1.12
521,Moree,0,AU,1555792234,72,-29.46,149.84,62.6,11.41
522,Cabano,90,CA,1555792035,86,47.68,-68.89,41.0,11.41
523,Port Hardy,20,CA,1555790400,66,50.7,-127.42,50.0,10.29
524,Guangzhou,75,CN,1555792304,88,23.13,113.26,75.0,2.24
525,Podgornoye,46,RU,1555792314,95,57.79,82.64,22.19,6.2
526,Patiya,0,BD,1555792314,63,22.3,91.98,83.75,3.98
527,Lata,93,IN,1555792314,81,30.78,78.62,25.07,7.38
528,Macas,75,EC,1555790400,83,-2.3,-78.12,75.2,5.82
529,Kawalu,90,ID,1555792315,96,-7.38,108.21,70.61,3.29
530,Imeni Poliny Osipenko,100,RU,1555792315,89,52.42,136.49,30.83,2.15
531,Amnat Charoen,18,TH,1555792316,51,15.86,104.63,88.97,9.51
